id,title,description,creationDate,lastModifiedDate,startDate,dueDate,completedDate,estimationTime,status,priority,progress,updatedBy,createdBy,projectId,userStory,totalTimeSpent,assignedUserIds,tags,dependencies
1,Update API endpoint,Update API endpoint. Score each cause. Quality throughout beautiful instead.,2025-04-09,2025-04-09,2025-04-09,2025-04-23,2025-04-09,66,COMPLETED,CRITICAL,100.0,903801fb-ecc6-4e92-900d-61f76bf89762,4236b86a-3149-42cc-85ff-d2111660bbad,1004,2003,72,"5d7c6527-348e-4845-a616-1a786c7e0070,df178def-630e-4f4c-bdb3-03029af87038,1ef1b0e4-c604-4446-bb73-544dd3c8394e",cloud,
2,Update logging mechanism,Update logging mechanism. Discussion own night respond red. Determine operation speak according south recently.,2025-02-08,2025-02-09,2025-02-12,2025-02-15,,116,ARCHIVED,CRITICAL,21.82,c4dad056-df69-4b34-8cb8-49d0b27e8fb6,799c2183-0826-4a5a-9e83-3bc4b6ac2afd,1043,2035,25,2b8a3f75-0f78-4999-b431-2be07f34e769,cloud,
3,Design security layer,Design security layer. Democratic shake bill here. Suggest page southern role movie win.,2025-03-11,2025-03-14,2025-03-13,2025-03-17,,181,TODO,LOW,83.9,cb3d9e91-fc16-4c3c-bfdf-ee926c20a054,4c15c7aa-0954-49ac-862c-055c09618c7e,1048,2010,0,b13b982e-99ba-4ba8-ae73-526889ce2152,"api,docker,ci/cd",
4,Implement authentication module,Implement authentication module. Fall pick those gun court attorney product. World talk term herself law.,2025-03-14,2025-03-16,2025-03-16,2025-03-28,,274,IN_PROGRESS,CRITICAL,22.56,f010d814-49a7-4dc4-8507-11745bb1f63f,7f424c3d-9ceb-4dc4-8b44-2a3e4340c65b,1081,2046,49,"ab75d875-8bc8-4ace-b50f-c61246ee793b,4b554b55-576c-4b1e-b7fa-fd27edb3cf83",security,1
5,Implement backend service,Implement backend service. Have decide environment view. Participant commercial rock clear. Establish understand read detail food shoulder.,2025-04-27,2025-04-30,2025-05-02,2025-05-09,,222,CANCELED,CRITICAL,16.94,3f025b02-bf19-4988-9a1f-46c7265c259b,80757069-a1d2-4616-803c-779722577c12,1034,2081,0,790f46e4-6e58-432c-aed9-c632e04be2c1,"ux,cloud,security",
6,Improve UI component,Improve UI component. Source husband at. Then fire pretty how trip learn enter.,2025-02-11,2025-02-13,2025-02-11,2025-02-17,,128,TODO,MEDIUM,6.55,2e1146fb-9c9e-4b88-bad2-157fe8c7aff5,ccf86231-14cb-4a1d-9f16-4e6dd414e71f,1083,2063,0,"6726ab80-b01a-4c68-89af-180c86d5078a,96d49133-75f4-42f1-8119-77fe4047ffc8,36d2e0c5-0ace-408b-9c1a-5bf5c71f4e78","docker,performance",
7,Migrate logging mechanism,Migrate logging mechanism. Enjoy once today human despite young meeting. Sense technology check civil. Others his other life edge network.,2025-03-01,2025-03-04,2025-03-02,2025-03-08,,177,CANCELED,HIGH,73.95,f07a6725-2250-4e78-8722-9be2b680ed96,392c1662-bbc4-488c-ac89-f405f37c95c4,1028,2017,0,"6e1ea0ad-18a1-4ce7-85f0-e390b47472cd,a3337f89-8269-45d9-984f-bc2ae57f8048,0763622f-02a3-407a-90c0-e8244ae689da","performance,frontend,backend",
8,Design backend service,Design backend service. Seem shoulder future fall citizen about reveal. Will seven medical blood personal.,2025-02-07,2025-02-07,2025-02-08,2025-02-21,,91,IN_PROGRESS,LOW,38.09,6674a598-8606-481e-bf47-8c1ec10017de,42dd13d2-f219-4735-a5bf-afbd2e9729ec,1087,2068,35,"3299dd5a-5337-4df8-9655-8ddd5b2d7102,71caee06-c479-44a6-8bbe-e013e5badd5f","docker,security",
9,Fix unit tests,Fix unit tests. Current hear claim well two truth out major. Upon these story film. Drive note bad rule.,2025-04-28,2025-04-29,2025-05-01,2025-05-06,,134,BLOCKED,MEDIUM,75.43,3aeb6df7-aa3e-4b64-8c9c-e1f4ac47eaec,6de143d4-8be8-4c5c-8177-a3d6d40b15a7,1047,2097,14,"da09a494-0601-4c22-89c0-cd6f911d85c6,8d448f00-4bfb-4f4a-8ebe-22d9d9a5326e,a1e4fb3a-e209-41fe-9186-7ac0d17f6ff4",ux,"5,7,6"
10,Improve email system,Improve email system. She campaign little near enter their institution. Up sense ready require human.,2025-04-26,2025-04-27,2025-04-30,2025-05-03,,64,ARCHIVED,LOW,11.07,feff21e4-a183-4926-a817-e20774fcaaac,2b69b530-9abc-4209-9462-be7be99741dd,1030,2072,6,"86178b82-6fe8-43c7-8d53-53d8e4832a5f,f9684523-24f0-40a0-ab56-060d0c918232",frontend,
