id,title,description,creationDate,startDate,dueDate,completedDate,estimationTime,status,priority,progress,itemtags,assignedUserIds,projectId,totalTimeSpent
1,Write unit tests,Cover business logic with JUnit,2025-01-06,2025-01-06,2025-01-25,,83,ARCHIVED,MEDIUM,100.0,testing,"user33, user37",34,0
2,Migrate data,Transfer data from legacy system,2024-12-17,2024-12-20,2025-01-09,,147,IN_PROGRESS,MEDIUM,33.8,database,"user9, user4, user26",11,96
3,Add rate limiting,Protect endpoints with request limits,2025-03-15,2025-03-18,2025-04-04,,266,IN_PROGRESS,MEDIUM,51.9,api,user30,20,175
4,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-04-18,2025-04-18,2025-05-06,,1256,IN_PROGRESS,LOW,63.0,devops,"user22, user21",55,671
5,Fix login bug,Resolve null pointer in login logic,2025-01-05,2025-01-08,2025-01-25,,379,TO_DO,MEDIUM,0.0,bug,"user34, user31",1,0
6,Migrate data,Transfer data from legacy system,2025-02-16,2025-02-21,2025-02-28,,458,IN_PROGRESS,LOW,67.0,database,"user15, user32, user46",90,357
7,Implement JWT auth,Add token-based authentication,2025-03-08,2025-03-13,2025-03-18,,328,IN_PROGRESS,HIGH,46.6,security,"user35, user10, user5",73,243
8,Write unit tests,Cover business logic with JUnit,2025-04-19,2025-04-22,2025-05-11,,374,IN_PROGRESS,LOW,85.9,testing,"user34, user40, user33",72,245
9,Urgent hotfix,Patch production bug under SLA,2025-03-05,2025-03-05,2025-03-18,,2312,IN_PROGRESS,HIGH,60.0,urgent,"user32, user33, user5",41,786
10,Urgent hotfix,Patch production bug under SLA,2024-11-23,2024-11-28,2024-12-14,2024-12-12,2001,DONE,HIGH,100.0,urgent,user4,44,2318
11,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2025-05-06,2025-05-08,2025-05-27,,1197,IN_PROGRESS,HIGH,88.8,devops,user25,31,632
12,Design schema,Create relational schema for new feature,2024-12-13,2024-12-15,2024-12-29,,284,TO_DO,MEDIUM,0.0,database,"user18, user39, user14",80,0
13,Configure Docker,Containerize the application,2024-12-24,2024-12-26,2025-01-06,2025-01-05,1744,DONE,MEDIUM,100.0,devops,user38,4,1574
14,Debug memory leak,Track and fix memory usage issue,2024-11-30,2024-12-04,2024-12-24,,350,IN_PROGRESS,LOW,63.5,bug,user40,38,180
15,Debug memory leak,Track and fix memory usage issue,2024-12-10,2024-12-11,2024-12-25,,97,TO_DO,HIGH,0.0,bug,"user32, user44, user43",70,0
16,Debug memory leak,Track and fix memory usage issue,2025-01-02,2025-01-02,2025-01-10,,152,IN_PROGRESS,MEDIUM,18.7,bug,"user39, user10, user22",73,112
17,Write unit tests,Cover business logic with JUnit,2024-12-12,2024-12-14,2024-12-19,,191,IN_PROGRESS,CRITICAL,76.5,testing,"user13, user37, user15",6,136
18,Fix memory leak,Track and fix memory usage issue,2025-04-10,2025-04-10,2025-04-23,,426,TO_DO,MEDIUM,0.0,bug,"user28, user45",25,0
19,Write unit tests,Cover business logic with JUnit,2025-01-13,2025-01-14,2025-01-24,,276,TO_DO,MEDIUM,0.0,testing,"user47, user38",63,0
20,Setup CI/CD pipeline,Integrate Jenkins pipeline for deployment,2024-11-25,2024-11-29,2024-12-04,,572,TO_DO,LOW,0.0,devops,user4,89,0
21,Implement React component,Create responsive component with hooks,2024-11-17,2024-11-21,2024-12-08,,436,BLOCKED,MEDIUM,21.8,frontend,user12,94,0
22,Design schema,Create relational schema for new feature,2025-02-05,2025-02-06,2025-02-22,,237,IN_PROGRESS,CRITICAL,70.4,database,user43,64,83
23,Document API,Write OpenAPI docs for endpoints,2025-03-21,2025-03-22,2025-04-07,2025-04-07,460,DONE,LOW,100.0,api,"user17, user1, user30",22,408
24,Apply security patch,Update libraries for vulnerability,2025-03-29,2025-03-31,2025-04-05,,474,TO_DO,MEDIUM,0.0,security,"user37, user39",42,0
25,Optimize DB queries,Improve performance of complex joins,2025-04-20,2025-04-20,2025-04-30,,1426,IN_PROGRESS,LOW,54.4,backend,"user36, user41, user47",33,650
26,Optimize DB queries,Improve performance of complex joins,2025-01-21,2025-01-24,2025-02-11,,2442,TO_DO,LOW,0.0,backend,user35,23,0
27,Configure Docker,Containerize the application,2025-02-15,2025-02-15,2025-03-04,2025-03-04,2318,DONE,LOW,100.0,devops,"user19, user31, user8",86,1864
28,Setup integration tests,Test service interactions end-to-end,2025-03-04,2025-03-05,2025-03-23,,76,IN_PROGRESS,LOW,57.5,testing,"user44, user13, user30",7,54
29,Migrate data,Transfer data from legacy system,2025-02-06,2025-02-08,2025-02-17,,206,TO_DO,CRITICAL,0.0,database,"user13, user6",27,0
30,Urgent hotfix,Patch production bug under SLA,2025-03-11,2025-03-15,2025-04-02,,1055,BLOCKED,HIGH,2.4,urgent,"user27, user24, user47",81,0
31,Immediate API fix,Resolve endpoint failure immediately,2025-03-10,2025-03-14,2025-03-21,,1758,IN_PROGRESS,MEDIUM,34.7,urgent,user44,84,1360
32,Add rate limiting,Protect endpoints with request limits,2024-12-18,2024-12-18,2025-01-01,,275,TO_DO,LOW,0.0,api,"user5, user43, user42",13,0
33,Debug memory leak,Track and fix memory usage issue,2025-05-02,2025-05-02,2025-05-14,,308,TO_DO,MEDIUM,0.0,bug,"user12, user33",14,0
34,Implement API endpoint,Develop REST endpoint for user service,2025-03-06,2025-03-11,2025-03-18,,2739,IN_PROGRESS,MEDIUM,72.1,backend,user35,88,965
35,Apply security patch,Update libraries for vulnerability,2025-05-12,2025-05-12,2025-05-25,,92,TO_DO,MEDIUM,0.0,security,"user46, user23",100,0
36,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-03-05,2025-03-07,2025-03-19,,443,TO_DO,MEDIUM,0.0,frontend,"user1, user49",14,0
37,Document API,Write OpenAPI docs for endpoints,2024-12-24,2024-12-28,2025-01-09,,452,CANCELLED,MEDIUM,5.9,api,"user25, user48, user34",20,0
38,Add rate limiting,Protect endpoints with request limits,2024-12-10,2024-12-11,2024-12-15,,267,ARCHIVED,LOW,100.0,api,"user39, user15",49,0
39,Apply security patch,Update libraries for vulnerability,2024-12-24,2024-12-29,2025-01-10,,154,IN_PROGRESS,MEDIUM,69.6,security,"user28, user43",19,119
40,Implement JWT auth,Add token-based authentication,2025-02-08,2025-02-08,2025-02-22,2025-02-21,280,DONE,MEDIUM,100.0,security,user40,92,255
41,Migrate data,Transfer data from legacy system,2024-11-15,2024-11-16,2024-11-21,,184,TO_DO,HIGH,0.0,database,user5,44,0
42,Implement JWT auth,Add token-based authentication,2025-01-08,2025-01-11,2025-01-14,,368,TO_DO,MEDIUM,0.0,security,"user49, user16, user13",87,0
43,Document API,Write OpenAPI docs for endpoints,2025-03-03,2025-03-05,2025-03-08,,66,IN_PROGRESS,LOW,35.8,api,"user21, user27, user43",95,22
44,Write unit tests,Cover business logic with JUnit,2024-11-30,2024-12-03,2024-12-06,,269,IN_PROGRESS,LOW,82.5,testing,"user30, user12",7,87
45,Implement React component,Create responsive component with hooks,2024-12-09,2024-12-14,2024-12-26,,294,IN_PROGRESS,MEDIUM,64.4,frontend,"user14, user31, user1",92,188
46,Debug memory leak,Track and fix memory usage issue,2024-12-19,2024-12-19,2024-12-30,,141,TO_DO,LOW,0.0,bug,"user21, user24",68,0
47,Debug memory leak,Track and fix memory usage issue,2025-03-09,2025-03-10,2025-03-30,,271,TO_DO,MEDIUM,0.0,bug,user41,28,0
48,Debug memory leak,Track and fix memory usage issue,2025-04-09,2025-04-12,2025-04-23,,69,IN_PROGRESS,HIGH,36.5,bug,"user5, user16, user50",91,28
49,Configure Docker,Containerize the application,2025-03-24,2025-03-28,2025-04-13,,534,IN_PROGRESS,HIGH,25.8,devops,"user32, user28",32,317
50,Configure Docker,Containerize the application,2025-03-15,2025-03-15,2025-03-23,,1989,TO_DO,LOW,0.0,devops,"user29, user26",67,0
51,Document API,Write OpenAPI docs for endpoints,2024-12-10,2024-12-13,2024-12-28,2024-12-27,390,DONE,MEDIUM,100.0,api,"user41, user17, user25",32,412
52,Migrate data,Transfer data from legacy system,2025-01-21,2025-01-23,2025-02-11,,301,TO_DO,HIGH,0.0,database,"user34, user14",1,0
53,Setup integration tests,Test service interactions end-to-end,2025-03-09,2025-03-09,2025-03-15,,427,TO_DO,CRITICAL,0.0,testing,user46,26,0
54,Add rate limiting,Protect endpoints with request limits,2025-02-04,2025-02-04,2025-02-12,,157,ARCHIVED,MEDIUM,100.0,api,"user42, user7, user1",68,0
55,Add rate limiting,Protect endpoints with request limits,2025-03-29,2025-04-01,2025-04-16,,60,TO_DO,HIGH,0.0,api,user16,92,0
56,Immediate API fix,Resolve endpoint failure immediately,2025-04-15,2025-04-16,2025-04-21,,1594,IN_PROGRESS,HIGH,19.5,urgent,"user34, user20",99,1098
57,Debug memory leak,Track and fix memory usage issue,2025-05-04,2025-05-04,2025-05-09,,270,TO_DO,HIGH,0.0,bug,"user39, user48",23,0
58,Configure Docker,Containerize the application,2025-01-23,2025-01-24,2025-02-12,2025-02-10,630,DONE,LOW,100.0,devops,"user43, user20, user49",58,741
59,Setup integration tests,Test service interactions end-to-end,2025-03-29,2025-04-01,2025-04-06,,96,TO_DO,MEDIUM,0.0,testing,user1,94,0
60,Migrate data,Transfer data from legacy system,2025-04-04,2025-04-07,2025-04-25,,275,IN_PROGRESS,MEDIUM,54.5,database,"user39, user35",70,106
61,Fix login bug,Resolve null pointer in login logic,2025-03-02,2025-03-05,2025-03-20,,378,IN_PROGRESS,MEDIUM,89.2,bug,"user28, user22, user44",86,212
62,Configure Docker,Containerize the application,2025-02-04,2025-02-09,2025-03-01,,2171,TO_DO,MEDIUM,0.0,devops,"user50, user12, user25",78,0
63,Debug memory leak,Track and fix memory usage issue,2025-04-16,2025-04-16,2025-05-05,,171,IN_PROGRESS,MEDIUM,35.1,bug,user43,81,112
64,Add rate limiting,Protect endpoints with request limits,2025-03-30,2025-04-04,2025-04-19,,291,IN_PROGRESS,HIGH,45.5,api,"user15, user16, user2",85,208
65,Urgent hotfix,Patch production bug under SLA,2025-01-27,2025-01-31,2025-02-05,,1950,TO_DO,MEDIUM,0.0,urgent,"user45, user43, user31",84,0
66,Apply security patch,Update libraries for vulnerability,2024-12-09,2024-12-10,2024-12-13,2024-12-12,166,DONE,LOW,100.0,security,"user27, user18",93,171
67,Implement API endpoint,Develop REST endpoint for user service,2024-11-19,2024-11-20,2024-11-24,,2515,IN_PROGRESS,HIGH,15.4,backend,"user33, user22, user41",21,1193
68,Implement React component,Create responsive component with hooks,2025-05-07,2025-05-07,2025-05-17,,312,IN_PROGRESS,LOW,20.2,frontend,user27,59,144
69,Fix CSS layout issue,Resolve flexbox misalignment in UI,2025-02-14,2025-02-19,2025-03-11,2025-03-09,122,DONE,MEDIUM,100.0,frontend,"user35, user49, user28",84,102
70,Design schema,Create relational schema for new feature,2025-03-29,2025-03-31,2025-04-13,2025-04-13,251,DONE,CRITICAL,100.0,database,user30,56,232
71,Implement JWT auth,Add token-based authentication,2025-04-30,2025-05-05,2025-05-15,,320,IN_PROGRESS,MEDIUM,41.0,security,"user25, user33, user32",22,189
72,Setup integration tests,Test service interactions end-to-end,2025-01-19,2025-01-19,2025-02-06,2025-02-06,331,DONE,MEDIUM,100.0,testing,"user35, user37, user17",1,352
73,Implement JWT auth,Add token-based authentication,2025-03-12,2025-03-16,2025-04-01,,307,IN_PROGRESS,HIGH,76.0,security,user21,9,102
74,Urgent hotfix,Patch production bug under SLA,2024-12-21,2024-12-22,2025-01-10,,1971,IN_PROGRESS,LOW,41.4,urgent,"user31, user21, user12",87,943
75,Setup integration tests,Test service interactions end-to-end,2024-12-04,2024-12-06,2024-12-24,,322,IN_PROGRESS,HIGH,25.1,testing,user48,31,153
76,Document API,Write OpenAPI docs for endpoints,2025-04-16,2025-04-18,2025-05-06,,388,IN_PROGRESS,MEDIUM,24.7,api,user44,37,161
77,Debug memory leak,Track and fix memory usage issue,2025-04-11,2025-04-15,2025-04-20,,348,IN_PROGRESS,LOW,48.3,bug,"user39, user5",4,142
78,Migrate data,Transfer data from legacy system,2025-04-30,2025-05-01,2025-05-05,,338,IN_PROGRESS,HIGH,81.5,database,user38,18,112
79,Add rate limiting,Protect endpoints with request limits,2024-12-03,2024-12-07,2024-12-21,2024-12-20,356,DONE,LOW,100.0,api,user29,93,374
80,Write unit tests,Cover business logic with JUnit,2024-11-12,2024-11-12,2024-12-02,,127,IN_PROGRESS,LOW,76.2,testing,"user6, user21, user47",60,41
81,Fix login bug,Resolve null pointer in login logic,2024-12-09,2024-12-09,2024-12-23,2024-12-23,120,DONE,LOW,100.0,bug,user43,4,97
82,Migrate data,Transfer data from legacy system,2025-01-18,2025-01-19,2025-01-28,2025-01-27,99,DONE,HIGH,100.0,database,user12,26,106
83,Add rate limiting,Protect endpoints with request limits,2024-12-07,2024-12-10,2024-12-19,,185,TO_DO,LOW,0.0,api,"user45, user35",81,0
84,Setup integration tests,Test service interactions end-to-end,2024-12-17,2024-12-19,2024-12-24,,439,IN_PROGRESS,MEDIUM,11.4,testing,user24,7,206
85,Configure Docker,Containerize the application,2024-12-22,2024-12-26,2025-01-02,,1588,TO_DO,MEDIUM,0.0,devops,user27,66,0
86,Design schema,Create relational schema for new feature,2024-11-18,2024-11-18,2024-11-22,,291,IN_PROGRESS,MEDIUM,82.1,database,user25,55,95
87,Write unit tests,Cover business logic with JUnit,2024-11-15,2024-11-19,2024-12-07,,154,IN_PROGRESS,LOW,85.1,testing,"user10, user30",47,51
88,Design schema,Create relational schema for new feature,2025-01-29,2025-01-31,2025-02-15,,423,BLOCKED,MEDIUM,26.8,database,user31,54,0
89,Migrate data,Transfer data from legacy system,2025-01-28,2025-01-31,2025-02-17,,171,IN_PROGRESS,LOW,19.5,database,"user11, user43",8,106
90,Configure Docker,Containerize the application,2025-01-20,2025-01-22,2025-02-10,2025-02-07,1708,DONE,MEDIUM,100.0,devops,"user28, user50, user44",73,1856
